Symbol,Date,Open,High,Low,Close
KSE-100,02-Apr-18,45624.13,45771.4,45412.86,45741.43
KSE-100,03-Apr-18,45744.57,46059.3,45692.02,46013.34
KSE-100,04-Apr-18,46058.24,46448.3,46039.02,46103.61
KSE-100,05-Apr-18,46142.72,46657.33,46085.1,46560.82
KSE-100,06-Apr-18,46783.54,47148.33,46542.82,46637.62
KSE-100,09-Apr-18,46652.16,46828.2,46530.06,46580.62
KSE-100,10-Apr-18,46599.81,46680.99,46402.05,46476.73
KSE-100,11-Apr-18,46557.41,46759.99,46472.15,46486.49
KSE-100,12-Apr-18,46576.74,46584.89,46219.85,46331.71
KSE-100,13-Apr-18,46310.41,46350.27,46035.31,46071.86
KSE-100,16-Apr-18,46095.83,46095.83,45610.22,45682.24
KSE-100,17-Apr-18,45690.11,45882.7,45483.87,45801.73
KSE-100,18-Apr-18,45835.14,46003.96,45423.01,45478.63
KSE-100,19-Apr-18,45460.8,45493.03,45122.84,45387.77
KSE-100,20-Apr-18,45400.36,45525.73,45153.92,45259.34
KSE-100,23-Apr-18,45235.4,45452.98,45190.15,45371.95
KSE-100,24-Apr-18,45426.1,45911.61,45409.5,45876.7
KSE-100,25-Apr-18,45885.72,45943.99,45680.96,45718.34
KSE-100,26-Apr-18,45769.04,45782.34,45427.19,45460.87
KSE-100,27-Apr-18,45467.37,45671.76,45458.25,45542.78
KSE-100,30-Apr-18,45752.81,45843.65,45424.87,45488.86
KSE-100,02-May-18,45471.74,45484.39,45160.64,45196.37
KSE-100,03-May-18,45214.42,45259.77,44556.18,44746.63
KSE-100,04-May-18,44750.79,44785.92,44467.44,44536.91
KSE-100,07-May-18,44546.19,44763.37,44321.88,44378.52
KSE-100,08-May-18,44364.02,44440.1,43925.64,44066.96
KSE-100,09-May-18,44163.86,44249.13,43385.69,43795
KSE-100,10-May-18,43877.06,44139.12,43735.44,43855.78
KSE-100,11-May-18,43869.07,44027.83,43550.68,43594.79
KSE-100,14-May-18,43543.08,43543.08,42431.44,42498.86
KSE-100,15-May-18,42478.99,42608.08,41843.98,42459.53
KSE-100,16-May-18,42467.22,42579.81,42198.84,42301.2
